solo:LTR7B:321	LTR7B:170	NA
solo:LTR7B:322	LTR7B:2694	NA
solo:LTR7:323	LTR7:2695	NA
solo:LTR7B:324	LTR7B:171	NA
solo:LTR7B:325	LTR7B:2717	NA
solo:LTR7C:326	LTR7C:2733	NA
solo:LTR7:327	LTR7:2734	NA
solo:LTR7:328	LTR7:2752	NA
solo:LTR7C:329	LTR7C:2775	NA
solo:LTR7B:330	LTR7B:2776	NA
solo:LTR7C:331	LTR7C:2774	NA
solo:LTR7C:332	LTR7C:2778	NA
solo:LTR7B:333	LTR7B:2779	NA
solo:LTR7C:334	LTR7C:2777	NA
solo:LTR7B:335	LTR7B:2809	NA
solo:LTR7C:336	LTR7C:2818	NA
solo:LTR7:337	LTR7:2819	NA
solo:LTR7B:338	LTR7B:2829	NA
solo:LTR7:339	LTR7:2839	NA
solo:LTR7:340	LTR7:2840	NA
solo:LTR7B:341	LTR7B:2850	NA
solo:LTR7B:341	LTR7B:2851	NA
solo:LTR7B:342	LTR7B:2852	NA
solo:LTR7B:343	LTR7B:2853	NA
solo:LTR7B:344	LTR7B:2863	NA
solo:LTR7B:345	LTR7B:2875	NA
solo:LTR7C:346	LTR7C:2876	NA
solo:LTR7C:347	LTR7C:2781	NA
solo:LTR7:348	LTR7:2882	NA
solo:LTR7:349	LTR7:2887	NA
solo:LTR7B:350	LTR7B:185	NA
solo:LTR7B:350	LTR7B:186	NA
solo:LTR7B:351	LTR7B:2782	NA
solo:LTR7:352	LTR7:2891	NA
solo:LTR7B:353	LTR7B:2892	NA
solo:LTR7:354	LTR7:2893	NA
solo:LTR7:355	LTR7:2902	NA
solo:LTR7:356	LTR7:2911	NA
solo:LTR7:357	LTR7:2912	NA
solo:LTR7B:358	LTR7B:2917	NA
solo:LTR7B:359	LTR7B:2918	NA
solo:LTR7:360	LTR7:2919	NA
solo:LTR7B:361	LTR7B:2943	NA
solo:LTR7B:362	LTR7B:2944	NA
solo:LTR7B:363	LTR7B:20	NA
solo:LTR7:364	LTR7:2780	NA
solo:LTR7B:365	LTR7B:2963	NA
solo:LTR7B:365	LTR7B:2964	NA
solo:LTR7B:366	LTR7B:2965	NA
solo:LTR7C:367	LTR7C:2966	NA
solo:LTR7B:368	LTR7B:2967	NA
solo:LTR7B:369	LTR7B:2983	NA
solo:LTR7B:370	LTR7B:2984	NA
solo:LTR7B:371	LTR7B:2999	NA
solo:LTR7B:371	LTR7B:3000	NA
solo:LTR7B:372	LTR7B:2988	NA
solo:LTR7B:372	LTR7B:2989	NA
solo:LTR7C:373	LTR7C:3032	NA
solo:LTR7:374	LTR7:3033	NA
solo:LTR7B:375	LTR7B:3034	NA
solo:LTR7:376	LTR7:3042	NA
solo:LTR7C:377	LTR7C:3043	NA
solo:LTR7C:377	LTR7C:3044	NA
solo:LTR7C:378	LTR7C:229	NA
solo:LTR7B:379	LTR7B:3047	NA
solo:LTR7B:380	LTR7B:3058	NA
solo:LTR7:381	LTR7:3059	NA
solo:LTR7:382	LTR7:230	NA
solo:LTR7C:383	LTR7C:3060	NA
solo:LTR7B:384	LTR7B:3061	NA
solo:LTR7C:385	LTR7C:3062	NA
solo:LTR7C:386	LTR7C:3001	NA
solo:LTR7C:386	LTR7C:3002	NA
solo:LTR7C:386	LTR7C:3003	NA
